Lugar de residencia (capitales);Mes de la defunción;Sexo;Total
Cuenca;Enero;Mujeres;23
Cuenca;Febrero;Total;43
Cuenca;Febrero;Hombres;17
Cuenca;Febrero;Mujeres;26
Cuenca;Marzo;Total;137
Cuenca;Marzo;Hombres;81
Cuenca;Marzo;Mujeres;56
Cuenca;Abril;Total;139
Cuenca;Abril;Hombres;65
Cuenca;Abril;Mujeres;74
Cuenca;Mayo;Total;47
Cuenca;Mayo;Hombres;22
Cuenca;Mayo;Mujeres;25
Cuenca;Junio;Total;40
Cuenca;Junio;Hombres;17
Cuenca;Junio;Mujeres;23
Cuenca;Julio;Total;52
Cuenca;Julio;Hombres;33
Cuenca;Julio;Mujeres;19
Cuenca;Agosto;Total;53
Cuenca;Agosto;Hombres;28
Cuenca;Agosto;Mujeres;25
Cuenca;Septiembre;Total;27
Cuenca;Septiembre;Hombres;18
Cuenca;Septiembre;Mujeres;9
Cuenca;Octubre;Total;52
Cuenca;Octubre;Hombres;31
Cuenca;Octubre;Mujeres;21
Cuenca;Noviembre;Total;48
Cuenca;Noviembre;Hombres;27
Cuenca;Noviembre;Mujeres;21
Cuenca;Diciembre;Total;44
Cuenca;Diciembre;Hombres;26
Cuenca;Diciembre;Mujeres;18
Guipúzcoa;Total;Total;2.173
Guipúzcoa;Total;Hombres;1.001
Guipúzcoa;Total;Mujeres;1.172
Guipúzcoa;Enero;Total;180
Guipúzcoa;Enero;Hombres;77
Guipúzcoa;Enero;Mujeres;103
Guipúzcoa;Febrero;Total;168
Guipúzcoa;Febrero;Hombres;74
Guipúzcoa;Febrero;Mujeres;94
Guipúzcoa;Marzo;Total;208
Guipúzcoa;Marzo;Hombres;103
Guipúzcoa;Marzo;Mujeres;105
Guipúzcoa;Abril;Total;195
Guipúzcoa;Abril;Hombres;86
Guipúzcoa;Abril;Mujeres;109
Guipúzcoa;Mayo;Total;141
Guipúzcoa;Mayo;Hombres;74
Guipúzcoa;Mayo;Mujeres;67
Guipúzcoa;Junio;Total;144
Guipúzcoa;Junio;Hombres;66
Guipúzcoa;Junio;Mujeres;78
Guipúzcoa;Julio;Total;145
Guipúzcoa;Julio;Hombres;78
Guipúzcoa;Julio;Mujeres;67
